Global transction report,From 01-04-2026 to 20-09-2026
Name,Test User
UCC,XXXXXXXXXX
Mobile,0000000000
Email ID,test@example.com

Date,Scrip Name,Exchange,Bill No.,Buy Qty.,Buy Value,Sell Qty.,Sell Value,Brokerage,GST,STT,SEBI Fees,Stamp Duty,Txn. Charges,Oth. Charges,Gross Amount
"20 May 2026 00:00:00","OPT NIFTY 26 May 2026 23500 PE","NSE","4699001","65","13432.25","65","12606.75","40.00","8.87","18.91","0.03","0.40","9.25","0.00","-902.96"
"21 May 2026 00:00:00","OPT NIFTY 26 May 2026 24400 CE","NSE","4835669","845","8323.25","0","0.00","20.00","4.13","0.00","0.01","0.25","2.96","0.00","-8350.60"
"21 May 2026 00:00:00","OPT SENSEX 21 May 2026 75200 CE","BSE","4835669","2000","3100.00","2000","100.00","80.00","14.59","0.15","0.00","0.09","1.04","0.00","-3095.87"
"21 May 2026 00:00:00","OPT SENSEX 21 May 2026 75400 CE","BSE","4835669","100","4555.00","100","5055.00","40.00","7.76","7.58","0.01","0.14","3.12","0.00","441.38"
"21 May 2026 00:00:00","OPT NIFTY 26 May 2026 23650 PE","NSE","4835669","65","9958.00","65","10305.75","40.00","8.50","15.46","0.02","0.30","7.20","0.00","276.27"
"21 May 2026 00:00:00","OPT NIFTY 26 May 2026 23750 PE","NSE","4835669","65","12086.75","65","12727.00","40.00","8.79","18.65","0.02","0.26","8.81","0.00","563.72"
"21 May 2026 00:00:00","OPT SENSEX 21 May 2026 74600 PE","BSE","4835669","800","25581.00","800","19700.00","80.00","17.06","29.55","0.05","0.77","14.72","0.00","-6023.14"
"21 May 2026 00:00:00","OPT SENSEX 21 May 2026 75200 PE","BSE","4835669","200","6350.00","200","5740.00","40.00","7.91","8.61","0.01","0.19","3.93","0.00","-670.65"
"22 May 2026 00:00:00","OPT NIFTY 26 May 2026 24400 CE","NSE","4981649","910","7949.50","1755","19041.75","60.00","12.53","29.00","0.03","0.00","9.59","0.00","10981.10"
"25 May 2026 00:00:00","OPT NIFTY 02 Jun 2026 24850 CE","NSE","5114919","780","8050.24","780","13987.97","100.00","19.41","21.16","0.02","0.48","7.83","0.00","5788.82"
"25 May 2026 00:00:00","OPT NIFTY 26 May 2026 24350 CE","NSE","5114919","1690","17491.50","1690","10562.50","40.00","9.00","15.84","0.03","0.52","9.97","0.00","-7004.35"
"26 May 2026 00:00:00","OPT NIFTY 02 Jun 2026 24800 CE","NSE","5255687","2080","20211.80","0","0.00","40.00","8.50","0.00","0.02","0.61","7.18","0.00","-20268.11"
"26 May 2026 00:00:00","OPT SENSEX 27 May 2026 77600 CE","BSE","5255687","740","12374.02","0","0.00","40.00","7.93","0.00","0.01","0.37","4.02","0.00","-12426.35"
"26 May 2026 00:00:00","OPT NIFTY 26 May 2026 24000 PE","NSE","5255687","2405","60732.75","2405","56589.00","160.00","36.32","85.00","0.12","2.02","41.69","0.00","-4468.90"
"27 May 2026 00:00:00","OPT SENSEX 27 May 2026 77600 CE","BSE","5413573","0","0.00","740","999.00","20.00","3.66","2.00","0.00","0.00","0.32","0.00","973.02"
"29 May 2026 00:00:00","OPT NIFTY 02 Jun 2026 24800 CE","NSE","5564176","0","0.00","2080","6136.00","40.00","7.59","9.00","0.01","0.00","2.18","0.00","6077.22"
"01 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23900 CE","NSE","5703363","455","7280.00","455","7120.75","40.00","8.12","10.68","0.01","0.46","5.12","0.00","-223.65"
"01 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23250 PE","NSE","5703363","390","6591.00","390","6981.00","40.00","8.07","10.47","0.01","0.20","4.82","0.00","326.42"
"01 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23550 PE","NSE","5703363","65","5430.75","65","5846.75","40.00","7.92","8.77","0.01","0.16","4.01","0.00","355.13"
"01 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23600 PE","NSE","5703363","65","6158.75","65","6396.00","40.00","8.01","10.08","0.01","0.18","4.46","0.00","174.51"
"02 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23300 CE","NSE","5849507","130","7780.50","130","8079.50","40.00","8.22","12.12","0.02","0.23","5.64","0.00","232.78"
"02 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23450 CE","NSE","5849507","845","7943.00","845","8534.50","40.00","8.26","12.80","0.02","0.24","5.85","0.00","524.33"
"02 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23500 CE","NSE","5849507","975","8190.00","975","12675.00","40.00","8.54","19.40","0.02","0.09","7.42","0.00","4409.53"
"02 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23350 PE","NSE","5849507","6500","8775.00","6500","0.00","80.00","14.96","0.00","0.01","0.26","3.12","0.00","-8873.35"
"02 Jun 2026 00:00:00","OPT NIFTY 02 Jun 2026 23400 PE","NSE","5849507","1430","5934.50","1430","3789.50","40.00","7.82","5.68","0.01","0.18","3.45","0.00","-2202.15"
"03 Jun 2026 00:00:00","OPT SENSEX 04 Jun 2026 72000 PE","BSE","6009042","200","1830.00","200","2300.00","40.00","7.44","3.00","0.00","0.00","1.34","0.00","418.22"
"17 Jun 2026 00:00:00","OPT NIFTY 23 Jun 2026 23950 CE","NSE","7503945","65","15275.00","65","15301.00","40.00","9.16","22.95","0.03","0.46","10.86","0.00","-57.47"
"17 Jun 2026 00:00:00","OPT NIFTY 23 Jun 2026 24100 CE","NSE","7503945","130","15457.00","130","15782.00","40.00","9.20","23.67","0.03","0.46","11.10","0.00","240.54"
"17 Jun 2026 00:00:00","OPT SENSEX 18 Jun 2026 77800 CE","BSE","7503945","840","50946.99","840","52180.01","120.00","27.65","78.27","0.10","1.53","33.52","0.00","971.94"
"17 Jun 2026 00:00:00","OPT NIFTY 23 Jun 2026 23850 PE","NSE","7503945","585","54171.00","585","53806.99","120.00","28.53","80.48","0.11","1.63","38.37","0.00","-633.12"
"17 Jun 2026 00:00:00","OPT SENSEX 18 Jun 2026 76600 PE","BSE","7503945","620","74373.00","620","71348.01","160.00","37.35","107.02","0.14","2.40","47.36","0.00","-3379.26"
"17 Jun 2026 00:00:00","OPT SENSEX 18 Jun 2026 76700 PE","BSE","7503945","120","17280.00","120","17074.00","60.00","12.82","25.61","0.03","0.52","11.17","0.00","-316.15"
"18 Jun 2026 00:00:00","OPT SENSEX 18 Jun 2026 77800 CE","BSE","7644694","1000","13250.00","1000","8500.00","40.00","8.47","12.75","0.02","0.68","7.06","0.00","-4818.99"
"18 Jun 2026 00:00:00","OPT SENSEX 18 Jun 2026 76500 PE","BSE","7644694","1000","10750.00","1000","12250.00","40.00","8.55","18.25","0.02","0.32","7.48","0.00","1425.38"
"20 Jul 2026 00:00:00","OPT NIFTY 21 Jul 2026 24150 CE","NSE","10771227","390","30780.75","390","34671.00","60.00","15.00","52.01","0.07","0.92","23.26","0.00","3739.00"
"20 Jul 2026 00:00:00","OPT NIFTY 21 Jul 2026 24200 CE","NSE","10771227","1170","92569.75","1170","73206.26","120.00","32.23","109.81","0.17","2.78","58.90","0.00","-19687.38"
"20 Jul 2026 00:00:00","OPT NIFTY 21 Jul 2026 24100 PE","NSE","10771227","1235","66823.25","1235","56007.25","120.00","29.48","83.57","0.12","2.42","43.64","0.00","-11095.23"
"20 Jul 2026 00:00:00","OPT NIFTY 21 Jul 2026 24150 PE","NSE","10771227","715","46088.25","715","46380.75","80.00","20.33","69.57","0.09","1.38","32.85","0.00","88.27"
"20 Jul 2026 00:00:00","OPT NIFTY 21 Jul 2026 24200 PE","NSE","10771227","1755","116827.75","1755","107360.50","180.00","46.78","161.04","0.22","3.50","79.65","0.00","-9938.45"
"21 Jul 2026 00:00:00","OPT NIFTY 21 Jul 2026 24250 CE","NSE","10926430","975","6873.75","975","146.25","40.00","7.65","0.22","0.01","0.21","2.49","0.00","-6778.08"
"21 Jul 2026 00:00:00","OPT NIFTY 21 Jul 2026 24350 CE","NSE","10926430","16315","95647.50","16315","20644.00","560.00","108.26","30.78","0.11","2.79","41.32","0.00","-75746.76"

Net P&L,-290063.06,Brokerage,6860,Gross P&L,-278409.5245,Total Charges,11653.5355

NOTE : This sheet was downloaded at 20/09/2026 13:17
